1, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.0 in., 50.2 in., 42.3 in., 55.6 in., 51.7 in., 35.9 in., 34.0 in., 53.5 in.,5 ft. 10.6 in. (70.6 in.),4 ft. 7.6 in. (55.6 in.),14 ft. 11.1 in. (179.1 in.),8 ft. 9.1 in. (105.1 in.),,,, 101.6 cu.ft., 2955 lbs., 12.3 cu.ft.,,,,,,,, 2.0 L, Single overhead cam (SOHC), Inline 4,16, Variable, 140 ft-lbs. @ 4300 rpm, 150 hp @ 6500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 316.8/462.0 mi., 24/35 mpg, Front wheel drive, 5-speed shiftable automatic
2, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.0 in., 50.3 in., 42.3 in., 55.6 in., 51.7 in., 35.9 in., 34.0 in., 53.5 in.,5 ft. 10.6 in. (70.6 in.),4 ft. 7.6 in. (55.6 in.),15 ft. 1.9 in. (181.9 in.),8 ft. 9.1 in. (105.1 in.),,,, 101.6 cu.ft., 3093 lbs., 12.3 cu.ft.,,,,,,,, 2.4 L, Double overhead cam (DOHC), Inline 4,16, Variable, 180 ft-lbs. @ 3800 rpm, 201 hp @ 6800 rpm, 36.8 ft., Gas, Premium unleaded (recommended), 13.2 gal., 330.0/475.2 mi., 25/36 mpg, Front wheel drive, 8-speed automated manual
3, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.1 in., 57.5 in., 41.4 in., 61.1 in., 57.8 in., 38.3 in., 36.6 in., 59.1 in.,,,,,,,,, 4025 lbs.,, 3500 lbs., 14.9 degrees, 19.4 degrees, 68.4 cu.ft.,,,, 3.5 L, Single overhead cam (SOHC), V6,24, Variable, 267 ft-lbs. @ 4500 rpm, 290 hp @ 6200 rpm, 37.6 ft., Gas, Premium unleaded (recommended), 19.5 gal., 390.0/546.0 mi., 20/28 mpg, Front wheel drive, 6-speed shiftable automatic
4, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.1 in., 59.0 in., 41.4 in., 61.1 in., 57.8 in., 38.3 in., 36.6 in., 59.1 in.,,,,,,,,,,, 3500 lbs.,,,,,,, 3.5 L, Single overhead cam (SOHC), V6,24, Variable, 267 ft-lbs. @ 4500 rpm, 290 hp @ 6200 rpm, 38.7 ft., Gas, Premium unleaded (recommended), 19.5 gal., 370.5/526.5 mi., 19/27 mpg, Front wheel drive, 9-speed shiftable automatic
5, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.7 in., 55.7 in., 42.0 in., 58.7 in., 53.8 in., 38.1 in., 38.3 in., 57.2 in.,6 ft. 1.7 in. (73.7 in.),5 ft. 6.1 in. (66.1 in.),15 ft. 3.5 in. (183.5 in.),,5 ft. 3.1 in. (63.1 in.),5 ft. 3.4 in. (63.4 in.),,, 3717 lbs.,, 1500 lbs., 17.2 degrees, 22.0 degrees, 61.3 cu.ft.,,,, 3.5 L, Single overhead cam (SOHC), V6,24, Variable, 251 ft-lbs. @ 5000 rpm, 273 hp @ 6200 rpm, 38.9 ft., Gas, Premium unleaded (recommended), 16.0 gal., 320.0/448.0 mi., 20/28 mpg, Front wheel drive, 6-speed shiftable automatic
6, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.7 in., 55.7 in., 42.0 in., 58.7 in., 53.8 in., 38.1 in., 38.3 in., 57.2 in.,6 ft. 1.7 in. (73.7 in.),5 ft. 5 in. (65 in.),15 ft. 4.4 in. (184.4 in.),8 ft. 9.7 in. (105.7 in.),,,, 129.6 cu.ft., 3737 lbs.,,, 14.9 degrees, 19.4 degrees, 76.9 cu.ft.,,,, 3.5 L, Double overhead cam (DOHC), V6,24, Variable, 252 ft-lbs. @ 4900 rpm, 279 hp @ 6200 rpm, 38.9 ft., Gas, Premium unleaded (recommended), 16.0 gal., 320.0/464.0 mi., 20/29 mpg, Front wheel drive, 6-speed shiftable automatic
7, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 37.6 in., 55.9 in., 42.3 in., 59.6 in., 54.5 in., 36.9 in., 38.8 in., 57.0 in.,6 ft. 2.4 in. (74.4 in.),4 ft. 9.7 in. (57.7 in.),16 ft. 4.1 in. (196.1 in.),9 ft. 4.2 in. (112.2 in.),,,, 113.7 cu.ft., 4312 lbs., 11.6 cu.ft.,,,,,,,, 3.5 L, Single overhead cam (SOHC), V6,24, Variable, 341 ft-lbs. @ 4700 rpm, 377 hp @ 6500 rpm, 40.5 ft., Hybrid, Premium unleaded (recommended), 15.1 gal., 422.8/483.2 mi., 28/32 mpg, All wheel drive, 7-speed automated manual
8, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 37.6 in., 55.9 in., 42.3 in., 59.6 in., 54.5 in., 36.9 in., 38.8 in., 57.0 in.,6 ft. 2.4 in. (74.4 in.),4 ft. 9.7 in. (57.7 in.),16 ft. 4.1 in. (196.1 in.),9 ft. 4.2 in. (112.2 in.),,,, 117.0 cu.ft., 3933 lbs., 14.9 cu.ft.,,,,,,,, 3.5 L, Single overhead cam (SOHC), V6,24, Variable, 272 ft-lbs. @ 4500 rpm, 310 hp @ 6500 rpm, 40.5 ft., Gas, Premium unleaded (recommended), 18.5 gal., 370.0/573.5 mi., 20/31 mpg, Front wheel drive, 6-speed shiftable automatic
9, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 37.6 in., 55.9 in., 42.3 in., 59.6 in., 54.5 in., 36.9 in., 38.8 in., 57.0 in.,6 ft. 2.4 in. (74.4 in.),4 ft. 9.7 in. (57.7 in.),16 ft. 4.1 in. (196.1 in.),9 ft. 4.2 in. (112.2 in.),,,, 117.0 cu.ft., 3955 lbs., 14.9 cu.ft.,,,,,,,, 3.5 L, Single overhead cam (SOHC), V6,24, Variable, 272 ft-lbs. @ 4500 rpm, 310 hp @ 6500 rpm, 40.5 ft., Gas, Premium unleaded (recommended), 18.5 gal., 370.0/573.5 mi., 20/31 mpg, Front wheel drive, 6-speed shiftable automatic
10, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 37.2 in., 55.3 in., 42.6 in., 57.5 in., 54.9 in., 36.7 in., 34.5 in., 55.4 in.,6 ft. 1 in. (73 in.),4 ft. 9 in. (57 in.),15 ft. 10.3 in. (190.3 in.),9 ft. 1.3 in. (109.3 in.),,,, 106.5 cu.ft., 3483 lbs., 13.2 cu.ft.,,,,,,,, 2.4 L, Double overhead cam (DOHC), Inline 4,16, Variable, 182 ft-lbs. @ 4500 rpm, 206 hp @ 6800 rpm, 39.2 ft., Gas, Premium unleaded (recommended), 17.2 gal., 412.8/602.0 mi., 24/35 mpg, Front wheel drive, 8-speed automated manual
11, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 37.2 in., 55.3 in., 42.6 in., 57.5 in., 54.9 in., 36.7 in., 34.5 in., 55.4 in.,6 ft. 1 in. (73 in.),4 ft. 9 in. (57 in.),15 ft. 10.3 in. (190.3 in.),9 ft. 1.3 in. (109.3 in.),,,, 106.5 cu.ft., 3483 lbs., 13.2 cu.ft.,,,,,,,, 2.4 L, Double overhead cam (DOHC), Inline 4,16, Variable, 182 ft-lbs. @ 4500 rpm, 206 hp @ 6800 rpm, 39.2 ft., Gas, Premium unleaded (recommended), 17.2 gal., 412.8/602.0 mi., 24/35 mpg, Front wheel drive, 8-speed automated manual
