,ID,Make,Model,Year,Type,fuelEfficientCust,negFuelEfficientCust,posTrunkCust,negTrunkCust,posOutdoorCust,negOutdoorCust,posFamilyCust,negFamilyCust,luxAppearanceCust,negLuxAppearanceCust,soundCust,negSoundCust,posInfocenterCust,negInfocenterCust,posWinterCust,negWinterCust,cabinRoomyCust,negCabinRoomyCust,posPowerCust,negPowerCust,sportyCust,negSportyCust,simpleCust,negSimpleCust,posVisibilityCust,negVisibilityCust,reliableCust,negReliableCust,comfSeatsCust,negComfSeatsCust,posSmoothCust,negSmoothCust,quietCust,negQuietCust,posValueCust,negValueCust,posAppearanceCust,negAppearanceCust,fuelEfficientExpert,negFuelEfficientExpert,posTrunkExpert,negTrunkExpert,posOutdoorExpert,negOutdoorExpert,posFamilyExpert,negFamilyExpert,luxAppearanceExpert,negLuxAppearanceExpert,soundExpert,negSoundExpert,posInfocenterExpert,negInfocenterExpert,posWinterExpert,negWinterExpert,cabinRoomyExpert,negCabinRoomyExpert,posPowerExpert,negPowerExpert,sportyExpert,negSportyExpert,simpleExpert,negSimpleExpert,visibilityExpert,negVisibilityExpert,reliableExpert,negReliableExpert,comfSeatsExpert,negComfSeatsExpert,posSmoothExpert,negSmoothExpert,quietExpert,negQuietExpert,posValueExpert,negValueExpert,posAppearanceExpert,negAppearanceExpert,customerTotal,expertTotal
1,1,acura,ilx,2015,sedan,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,7,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
2,2,acura,ilx,2016,sedan,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,2,7,0,0,10,0,0,0,10,5,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,46,1
3,3,acura,mdx,2015,suv,0,0,0,0,0,1,6,1,0,0,3,5,1,2,1,0,0,0,8,0,0,0,0,0,6,3,4,8,7,0,4,9,11,6,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,87,1
4,3,acura,mdx,2015,suv,0,0,3,0,0,1,10,1,2,1,3,5,6,7,3,3,0,1,19,0,0,1,1,0,11,6,4,8,14,2,29,20,29,18,6,3,12,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,87,1
5,4,acura,mdx,2016,suv,0,4,3,3,1,1,6,3,3,1,0,0,5,7,2,5,0,0,12,10,1,1,1,0,7,5,8,7,6,2,42,30,24,18,3,4,16,3,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,98,1
6,5,acura,rdx,2015,suv,22,5,3,5,0,0,5,2,8,0,7,2,1,2,0,1,5,2,15,8,2,0,1,0,3,0,12,7,10,0,45,14,15,9,6,0,14,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,100,1
7,6,acura,rdx,2016,suv,24,5,3,3,0,0,4,0,6,0,12,2,2,2,2,0,5,2,13,9,0,0,1,0,3,2,12,7,10,2,45,15,21,12,10,2,12,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,116,1
8,8,acura,rlx,2015,sedan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
9,7,acura,rlx,2016,hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
10,9,acura,rlx,2016,sedan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
